image_time,angle_deg,inference_time_ms,delta_t,delta_angle,omega,dx_dt,dy_dt,tip_speed,puncture_detected
630.7062900000,70.94229548987167,39.74070001277141,0.0,0.0,0.0,0.0,0.0,0.0,False
630.7668690000,70.4633450618716,51.16150001413189,0.06057900000007521,-0.4789504280000614,-0.4789504280000614,0,-4,4.0,False
630.8024690000,69.81419699053515,40.13779998058453,0.03559999999993124,-0.6491480713364552,-0.6491480713364552,0,0,0.0,False
630.8378800000,70.08359400619092,40.06209998624399,0.03541100000006736,0.2693970156557697,0.2693970156557697,0,0,0.0,False
630.9036670000,69.81419699053515,37.63969999272376,0.06578700000000026,-0.2693970156557697,-0.2693970156557697,4,4,5.656854249492381,False
630.9389510000,69.44395478041653,38.08930001105182,0.03528399999993326,-0.3702422101186187,-0.3702422101186187,-4,1,4.123105625617661,False
630.9695650000,69.954750574579,38.218800007598475,0.03061400000001413,0.5107957941624619,0.5107957941624619,-8,-5,9.433981132056603,False
630.9996350000,69.52905190136576,37.90370002388954,0.030070000000023356,-0.4256986732132333,-0.4256986732132333,0,0,0.0,False
631.0401500000,70.14478563067895,38.073599978815764,0.04051500000002761,0.6157337293131917,0.6157337293131917,0,4,4.0,False
631.0707510000,70.0558877066031,37.90679998928681,0.030600999999933265,-0.08889792407585162,-0.08889792407585162,-4,4,5.656854249492381,False
631.1064240000,69.64677085193117,37.52479999093339,0.03567299999997431,-0.4091168546719359,-0.4091168546719359,0,0,0.0,False
631.2023070000,71.02959219151346,37.61179998400621,0.09588300000007166,1.3828213395822928,1.3828213395822928,-4,2,4.47213595499958,False
631.2375290000,69.00784722189036,37.068999983603135,0.035221999999976106,-2.0217449696231,-2.0217449696231,0,2,2.0,False
631.3036100000,70.3461759419467,37.27980001713149,0.06608100000005379,1.3383287200563387,1.3383287200563387,-8,0,8.0,False
631.3337540000,69.0265065786792,37.26389998337254,0.03014399999995021,-1.3196693632674936,-1.3196693632674936,0,11,11.0,False
631.5363230000,70.4633450618716,37.08450001431629,0.20256900000003952,1.4368384831924033,1.4368384831924033,8,-2,8.246211251235321,False
631.5720450000,70.4633450618716,37.12930000619963,0.03572199999996428,0.0,0.0,0,-1,1.0,False
631.6422630000,68.89516141507036,37.17100000358187,0.07021799999995437,-1.568183646801245,-1.568183646801245,0,-1,1.0,False
631.9007730000,66.5713071912546,22.94580001034774,0.25851000000000113,-2.323854223815758,-2.323854223815758,-4,-91,91.08786966440702,True
632.1384080000,70.34113345826813,26.812199997948483,0.23763500000006843,3.769826267013528,3.769826267013528,-4,-16,16.492422502470642,True
636.3024000000,73.2173558547293,19.45639998302795,4.1639920000000075,2.8762223964611735,2.8762223964611735,24,76,79.6994353806851,True
636.6417560000,72.75854060106002,21.253300015814602,0.3393559999999525,-0.458815253669286,-0.458815253669286,15,46,48.38388161361178,True
