image_time,angle_deg,inference_time_ms,delta_t,delta_angle,omega,dx_dt,dy_dt,tip_speed,puncture_detected
630.6709040000,69.77514056883192,8.966900000814348,0.0,0.0,0.0,0.0,0.0,0.0,False
630.7062900000,71.25865955480728,8.660100000270177,0.03538600000001679,1.4835189859753655,1.4835189859753655,0,0,0.0,False
630.7374340000,70.94229548987167,7.935699999507051,0.03114400000004025,-0.31636406493561253,-0.31636406493561253,0,-4,4.0,False
630.8024690000,70.78732818281436,11.14890000098967,0.0650349999999662,-0.154967307057305,-0.154967307057305,0,-4,4.0,False
630.8378800000,69.62356478616361,7.5902999997197185,0.03541100000006736,-1.1637633966507508,-1.1637633966507508,0,0,0.0,False
630.8682110000,69.88741171092452,9.004200001072604,0.03033099999993283,0.2638469247609123,0.2638469247609123,-4,0,4.0,False
630.9036670000,69.55045238920742,7.454200000211131,0.035456000000067434,-0.33695932171710297,-0.33695932171710297,0,0,0.0,False
631.0401500000,67.71441235316725,9.50120000197785,0.13648299999999836,-1.836040036040174,-1.836040036040174,-8,4,8.94427190999916,False
631.1064240000,68.34401096157751,7.916200000181561,0.06627399999990757,0.6295986084102623,0.6295986084102623,-4,4,5.656854249492381,False
631.1416070000,68.44292071496228,8.721599999262253,0.03518300000007457,0.09890975338477404,0.09890975338477404,0,-4,4.0,False
631.1718990000,69.36245301531218,8.17319999987376,0.030292000000031294,0.9195323003498999,0.9195323003498999,0,4,4.0,False
631.2023070000,69.15206498587943,8.10300000011921,0.030407999999965796,-0.2103880294327496,-0.2103880294327496,-4,-4,5.656854249492381,False
631.2730540000,67.96377305985456,8.003099999768892,0.07074699999998302,-1.188291926024874,-1.188291926024874,0,4,4.0,False
631.3036100000,70.01689347810003,6.661900002654875,0.03055600000004688,2.05312041824547,2.05312041824547,-4,8,8.94427190999916,False
631.3337540000,69.0151021641178,6.555100000696257,0.03014399999995021,-1.001791313982224,-1.001791313982224,-4,0,4.0,False
631.3700600000,68.96248897457819,8.18749999962165,0.03630599999996775,-0.05261318953961336,-0.05261318953961336,0,-4,4.0,False
631.4349960000,67.61986494804043,10.56579999931273,0.06493599999998878,-1.342624026537763,-1.342624026537763,4,8,8.94427190999916,False
631.4707680000,68.05130091647302,7.21739999789861,0.03577200000006542,0.431435968432595,0.431435968432595,4,4,5.656854249492381,False
631.5057040000,69.17910714668918,7.2881999985838775,0.034936000000016065,1.1278062302161516,1.1278062302161516,0,-8,8.0,False
631.5363230000,69.17910714668918,7.480200001737103,0.030619000000001506,0.0,0.0,0,0,0.0,False
631.5720450000,68.34401096157751,9.433100000023842,0.03572199999996428,-0.8350961851116665,-0.8350961851116665,0,0,0.0,False
631.6675890000,67.61986494804043,14.976099999330472,0.09554400000001806,-0.7241460135370801,-0.7241460135370801,4,-4,5.656854249492381,False
633.0692270000,71.27421215472744,10.703599997214042,1.4016379999999344,3.6543472066870066,3.6543472066870066,0,-85,85.0,True
635.0072730000,-69.94390526342458,7.7648999977100175,1.9380460000000994,-141.21811741815202,-141.21811741815202,3,73,73.06161783043132,True
636.1710460000,68.05130091647302,8.67379999908735,1.163772999999992,137.9952061798976,137.9952061798976,13,-20,23.853720883753127,True
636.2365870000,59.48976259388444,8.855899999616668,0.06554099999993923,-8.561538322588582,-8.561538322588582,0,0,0.0,True
636.3024000000,72.0955524937518,8.482000001095003,0.0658130000000483,12.605789899867354,12.605789899867354,-8,-4,8.94427190999916,True
636.3378790000,72.07208023799276,8.76619999689865,0.035479000000009364,-0.02347225575903167,-0.02347225575903167,0,0,0.0,True
636.3681860000,71.82198120158151,8.856199998263037,0.030306999999993423,-0.25009903641125675,-0.25009903641125675,0,8,8.0,True
636.4037830000,72.07208023799276,9.15539999914472,0.035596999999938816,0.25009903641125675,0.25009903641125675,-4,-4,5.656854249492381,True
636.4389090000,71.82198120158151,9.097500002098968,0.03512599999999111,-0.25009903641125675,-0.25009903641125675,0,0,0.0,True
636.4699580000,69.88741171092452,8.888099997420795,0.03104900000005273,-1.9345694906569832,-1.9345694906569832,0,4,4.0,True
636.5048100000,71.82198120158151,9.346099999675062,0.03485200000000077,1.9345694906569832,1.9345694906569832,0,-4,4.0,True
636.6718660000,74.05460409907715,9.256199999072123,0.1670560000000023,2.232622897495645,2.232622897495645,-4,4,5.656854249492381,True
636.8081610000,69.92847413546127,9.712399998534238,0.13629500000001826,-4.126129963615881,-4.126129963615881,-8,-4,8.94427190999916,True
636.8391530000,72.20401107606962,9.899000000586966,0.030991999999969266,2.2755369406083474,2.2755369406083474,0,0,0.0,True
636.8740710000,71.40764677338345,9.665499997936422,0.034917999999947824,-0.7963643026861718,-0.7963643026861718,-4,-4,5.656854249492381,True
