image_time,angle_deg,inference_time_ms,delta_t,delta_angle,omega,dx_dt,dy_dt,tip_speed,puncture_detected
267.1962610000,68.65561073760772,45.596199997817166,0.0,0.0,0.0,0.0,0.0,0.0,False
267.2262440000,68.77998825090201,32.591500003036344,0.029983000000015636,0.12437751329429148,0.12437751329429148,0,-4,4.0,False
267.2567490000,68.49740758165757,34.16339999967022,0.03050500000000511,-0.2825806692444388,-0.2825806692444388,0,0,0.0,False
267.2920020000,68.47429343247506,32.726800000091316,0.035253000000011525,-0.023114149182504207,-0.023114149182504207,0,0,0.0,False
267.3274520000,68.33391865392888,33.85560000242549,0.035449999999968895,-0.14037477854618885,-0.14037477854618885,0,0,0.0,False
267.3630590000,68.3632176744966,32.661500001267996,0.035607000000027256,0.029299020567719936,0.029299020567719936,0,-4,4.0,False
267.3932280000,68.71508003977581,33.791699999710545,0.03016900000000078,0.3518623652792172,0.3518623652792172,0,0,0.0,False
267.4286760000,68.74403645403163,32.65059999830555,0.035447999999973945,0.0289564142558163,0.0289564142558163,0,0,0.0,False
267.4593790000,68.39892040994637,33.38110000186134,0.0307030000000168,-0.345116044085259,-0.345116044085259,0,0,0.0,False
267.4950160000,69.0412944338126,32.163100000616396,0.035637000000008356,0.6423740238662248,0.6423740238662248,0,-4,4.0,False
267.5299360000,68.75081140714089,21.00359999894863,0.03491999999999962,-0.29048302667170844,-0.29048302667170844,4,6,7.211102550927978,False
267.5607840000,68.98555350099203,20.54359999965527,0.03084799999999177,0.2347420938511391,0.2347420938511391,0,-2,2.0,False
267.5965020000,68.82479225058287,20.99120000275434,0.03571799999997438,-0.160761250409152,-0.160761250409152,0,1,1.0,False
267.6259550000,68.44891370336792,20.53850000083912,0.029452999999989515,-0.3758785472149526,-0.3758785472149526,-8,-9,12.041594578792296,False
267.6614250000,68.36806093560963,20.8996000001207,0.03547000000003209,-0.08085276775828731,-0.08085276775828731,0,8,8.0,False
267.6967920000,68.34079746522828,20.545200000924524,0.03536700000000792,-0.02726347038135657,-0.02726347038135657,-4,-8,8.94427190999916,False
267.7273620000,68.78625523507978,20.83929999935208,0.030570000000011532,0.445457769851501,0.445457769851501,0,0,0.0,False
267.7625520000,68.41159761945279,20.494199998211116,0.035190000000000055,-0.37465761562698674,-0.37465761562698674,0,0,0.0,False
267.7980750000,68.32189933811209,20.864900001470232,0.03552299999995512,-0.08969828134070212,-0.08969828134070212,0,-4,4.0,False
267.8284860000,67.93963422916448,20.612299998902017,0.030411000000015065,-0.3822651089476068,-0.3822651089476068,0,7,7.0,False
267.8587420000,68.3911533280662,20.895400000881637,0.0302560000000085,0.4515190989017128,0.4515190989017128,0,1,1.0,False
267.8943380000,68.07493960499943,20.526399999653222,0.035595999999998185,-0.31621372306676676,-0.31621372306676676,-4,-4,5.656854249492381,False
267.9244020000,67.76413472664464,21.094100000482285,0.03006399999998166,-0.3108048783547872,-0.3108048783547872,0,4,4.0,False
267.9597670000,67.70343728566621,20.549499997287057,0.03536500000001297,-0.060697440978429995,-0.060697440978429995,0,0,0.0,False
267.9952830000,67.69928969227192,20.982199999707518,0.03551599999997279,-0.004147593394293381,-0.004147593394293381,0,1,1.0,False
268.0260640000,67.31849509027057,20.50799999778974,0.030781000000047243,-0.38079460200134463,-0.38079460200134463,-4,-9,9.848857801796104,False
268.0611100000,67.2977506982688,21.002199999202276,0.035045999999965716,-0.020744392001773804,-0.020744392001773804,0,-4,4.0,False
268.0922540000,68.19842834140033,20.53150000210735,0.03114400000004025,0.9006776431315302,0.9006776431315302,-4,0,4.0,False
268.1274520000,67.52338255675178,20.937400000548223,0.035197999999979857,-0.675045784648546,-0.675045784648546,-4,0,4.0,False
268.1625930000,67.0121913571486,20.542899997963104,0.03514100000001008,-0.5111911996031893,-0.5111911996031893,4,0,4.0,False
268.1925870000,66.9653642658201,20.849600001383806,0.029993999999987864,-0.046827091328495385,-0.046827091328495385,-4,0,4.0,False
268.2281370000,66.31247108161661,20.57490000152029,0.03555000000000064,-0.6528931842034922,-0.6528931842034922,0,4,4.0,False
268.2585260000,66.45092764876087,20.98680000199238,0.030389000000013766,0.13845656714426013,0.13845656714426013,0,0,0.0,False
268.2991380000,65.33869548724594,20.52919999914593,0.040612000000010084,-1.1122321615149247,-1.1122321615149247,-8,0,8.0,False
268.3245360000,65.81201718179264,20.926700002746657,0.02539799999999559,0.4733216945466978,0.4733216945466978,0,4,4.0,False
268.3597730000,65.7062375973098,20.532200000161538,0.03523699999999508,-0.10577958448284619,-0.10577958448284619,0,0,0.0,False
268.3901320000,65.85251497176571,21.007499999541324,0.030358999999975822,0.14627737445592004,0.14627737445592004,-4,0,4.0,False
268.4266130000,65.809290431377,20.129100001213374,0.03648099999998067,-0.04322454038872081,-0.04322454038872081,0,0,0.0,False
268.4612500000,65.60288287245297,20.516600001428742,0.034637000000032,-0.2064075589240275,-0.2064075589240275,0,0,0.0,False
268.4964980000,65.53180005976921,20.266199997422518,0.035247999999967305,-0.07108281268375549,-0.07108281268375549,4,0,4.0,False
268.5267430000,65.65594855491845,20.617300000594696,0.03024500000003627,0.12414849514924242,0.12414849514924242,0,4,4.0,False
268.5621580000,65.45571219298282,20.156200000201352,0.03541500000000042,-0.20023636193563732,-0.20023636193563732,0,4,4.0,False
268.5923960000,65.54866103570365,20.49780000015744,0.0302379999999971,0.09294884272082982,0.09294884272082982,4,4,5.656854249492381,False
268.6277570000,65.51494301215223,20.157300001301337,0.035360999999966225,-0.0337180235514154,-0.0337180235514154,0,0,0.0,False
268.6635360000,65.5542842222713,20.528799999738112,0.035779000000047745,0.03934121011907621,0.03934121011907621,0,0,0.0,False
268.6940190000,65.53456163938831,20.198800000798656,0.030483000000003813,-0.019722582882991446,-0.019722582882991446,0,-4,4.0,False
