image_time,angle_deg,inference_time_ms,delta_t,delta_angle,omega,dx_dt,dy_dt,tip_speed,puncture_detected
76.9686740000,62.51331002236768,49.19769999105483,0.0,0.0,0.0,0.0,0.0,0.0,False
77.0091260000,63.089003990636,37.914999993517995,0.04045200000000193,0.5756939682683182,0.5756939682683182,0,-4,4.0,False
77.0347880000,63.14144639957605,37.815499992575496,0.025662000000011176,0.05244240894004548,0.05244240894004548,4,-4,5.656854249492381,False
77.0698710000,62.789843283862496,36.78710001986474,0.0350830000000002,-0.3516031157135515,-0.3516031157135515,0,0,0.0,False
77.1054900000,62.9044475062482,38.866099988808855,0.03561899999999696,0.1146042223857009,0.1146042223857009,0,0,0.0,False
77.1362160000,64.08533912190083,137.17080000787973,0.030726000000001363,1.1808916156526337,1.1808916156526337,0,4,4.0,False
77.1714450000,62.850318302216834,47.18140000477433,0.035229000000001065,-1.2350208196839958,-1.2350208196839958,0,4,4.0,False
77.2068470000,63.9417004181083,37.22490000654943,0.03540199999999061,1.091382115891463,1.091382115891463,0,0,0.0,False
77.2370160000,62.91928908456005,37.321000010706484,0.03016900000000078,-1.0224113335482485,-1.0224113335482485,-4,4,5.656854249492381,False
77.2672840000,62.855298078064656,37.19390000333078,0.030268000000006623,-0.06399100649539236,-0.06399100649539236,4,4,5.656854249492381,False
77.3382030000,62.24145939893998,37.42720000445843,0.0709189999999893,-0.6138386791246759,-0.6138386791246759,0,4,4.0,False
77.3685960000,62.523910808444626,37.2819000040181,0.030393000000003667,0.2824514095046453,0.2824514095046453,0,0,0.0,False
77.4038210000,61.787754425352404,38.71300001628697,0.03522499999999695,-0.7361563830922222,-0.7361563830922222,-4,0,4.0,False
77.4395060000,62.02052561151985,37.26849998929538,0.035685000000000855,0.2327711861674473,0.2327711861674473,0,0,0.0,False
77.4701380000,62.413855237079446,37.37229999387637,0.030632000000011317,0.39332962555959483,0.39332962555959483,0,0,0.0,False
77.5054190000,63.0516073324129,37.17609998420812,0.035280999999997675,0.6377520953334539,0.6377520953334539,0,0,0.0,False
77.5354370000,62.53963125121818,37.30550000909716,0.030017999999998324,-0.5119760811947174,-0.5119760811947174,4,0,4.0,False
77.5709800000,62.88552884282869,36.307400005171075,0.0355430000000041,0.3458975916105089,0.3458975916105089,0,-4,4.0,False
77.6365010000,63.11306580752329,36.372600006870925,0.06552099999998973,0.22753696469460039,0.22753696469460039,-4,-4,5.656854249492381,False
77.6674310000,63.86899945506142,36.49540001060814,0.030929999999997904,0.7559336475381286,0.7559336475381286,0,0,0.0,False
77.7027330000,62.158126460252234,36.31600001244806,0.0353020000000015,-1.7108729948091863,-1.7108729948091863,0,0,0.0,False
77.7378900000,63.47626606021413,36.703199992189184,0.035156999999998106,1.3181395999618957,1.3181395999618957,0,0,0.0,False
77.7685790000,63.09709119843043,36.33740000077523,0.030689000000009514,-0.37917486178370297,-0.37917486178370297,0,0,0.0,False
77.8043430000,63.12186024790135,36.57759999623522,0.03576400000000035,0.024769049470926063,0.024769049470926063,0,4,4.0,False
77.8338000000,62.676108698653465,36.16339998552576,0.029456999999993627,-0.4457515492478876,-0.4457515492478876,0,0,0.0,False
77.8692990000,62.460808941787576,36.45380001398735,0.0354990000000015,-0.21529975686588898,-0.21529975686588898,0,0,0.0,False
77.9048170000,62.58160045262578,36.371299996972084,0.035517999999996164,0.1207915108382025,0.1207915108382025,-4,-4,5.656854249492381,False
77.9353790000,62.12153913690505,54.833400005009025,0.03056200000000331,-0.46006131572072917,-0.46006131572072917,0,0,0.0,False
77.9703930000,62.418933790712714,36.36500000720844,0.035014000000003875,0.2973946538076646,0.2973946538076646,0,-8,8.0,False
78.0057820000,61.92958884283323,36.76859999541193,0.03538899999999501,-0.4893449478794807,-0.4893449478794807,0,-4,4.0,False
78.0366920000,62.04630722551536,36.147600010735914,0.030910000000005766,0.11671838268213008,0.11671838268213008,0,0,0.0,False
78.0716770000,62.0827363784395,36.015599995153025,0.03498499999999183,0.03642915292413562,0.03642915292413562,0,4,4.0,False
78.1019860000,62.47378579311703,35.74809999554418,0.030309000000002584,0.39104941467753207,0.39104941467753207,0,4,4.0,False
78.1375970000,61.87446147709394,35.93639997416176,0.035611000000002946,-0.5993243160230932,-0.5993243160230932,0,0,0.0,False
78.1682170000,61.89373017919812,35.62789998250082,0.03061999999999898,0.019268702104184854,0.019268702104184854,4,0,4.0,False
78.2034490000,61.588151566899384,36.141299991868436,0.0352320000000077,-0.3055786122987385,-0.3055786122987385,0,0,0.0,False
78.2386550000,62.00285263875737,35.772800008999184,0.03520599999998808,0.41470107185798355,0.41470107185798355,0,-4,4.0,False
78.2692760000,61.92751306414704,35.968200012575835,0.030621000000010667,-0.07533957461032514,-0.07533957461032514,0,0,0.0,False
78.3045040000,62.04677613051926,35.9625999990385,0.03522799999998938,0.11926306637221984,0.11926306637221984,0,0,0.0,False
78.3354930000,62.57777926270426,36.04179999092594,0.030989000000005262,0.5310031321849991,0.5310031321849991,0,-4,4.0,False
78.3708380000,62.447854976397,35.7328999962192,0.03534500000000662,-0.12992428630726494,-0.12992428630726494,0,-4,4.0,False
78.4057840000,62.77100067456418,35.93330000876449,0.03494599999999082,0.3231456981671812,0.3231456981671812,0,0,0.0,False
78.4513660000,62.5401094753991,35.84870000486262,0.045581999999996015,-0.23089119916507883,-0.23089119916507883,0,0,0.0,False
78.4767020000,62.30784668481249,34.85799999907613,0.025336000000010017,-0.23226279058660992,-0.23226279058660992,4,0,4.0,False
78.5018540000,62.79843381289365,34.62910000234842,0.025151999999991403,0.49058712808115956,0.49058712808115956,0,0,0.0,False
